Article Title,Cited,Impact Factor,altmetric_score,DOI,retracted,severity_category
Screening of intestinal microflora for effective probiotic bacteria,73.0,5.7,3.0,10.1021/jf0012244,no,good
Biochanin A improves fibre fermentation by cellulolytic bacteria,21.0,3.2,3.0,10.1111/jam.13632,no,good
Screening and selection of growth-promoting bacteria for Dunaliella cultures,107.0,4.6,3.5,10.1016/j.algal.2013.05.003,no,good
Gasdermin D kills bacteria,2.0,6.1,1.0,10.1016/j.micres.2023.127383,no,good
Co-culturing bacteria and microalgae in organic carbon containing medium,63.0,1.9,1.85,10.1186/s40709-016-0047-6,no,good
Hydrocarbon-degrading bacteria in Colombia: systematic review,3.0,3.1,1.0,10.1007/s10532-022-09976-z,no,good
Influence of bacteria on epigenetic gene control,54.0,6.2,1.0,10.1007/s00018-013-1487-x,no,good
Bacteria in non-woven textile filters for domestic wastewater treatment,6.0,2.2,3.0,10.1080/09593330.2014.969326,no,good
Isolation and description of carbazole-degrading bacteria,31.0,1.8,3.0,10.1139/m96-012,no,good
Antibiotic Resistance in Bacteria-A Review,127.0,4.3,1.75,10.3390/antibiotics11081079,no,good
Impacts of Gut Bacteria on Human Health and Diseases,636.0,4.9,626.58,10.3390/ijms16047493,no,good
Anaerobic-petroleum degrading bacteria: Diversity and biotechnological applications for improving coastal soil,13.0,6.2,0.25,10.1016/j.ecoenv.2021.112646,no,good
PHYLOGENETIC ANALYSIS OF 2 SYNTROPHIC PROPIONATE-OXIDIZING BACTERIA IN ENRICHMENTS CULTURES,57.0,3.3,3.0,10.1016/S0723-2020(11)80450-9,no,good
Chemical signature of magnetotactic bacteria,43.0,9.4,5.75,10.1073/pnas.1414112112,no,good
Bacteria-induced motility reduction in Lingulodinium polyedrum (Dinophyceae),36.0,2.8,7.056,10.1111/j.1529-8817.2008.00549.x,no,good
Genetically modified bacteria in agriculture,49.0,3.3,4.5,10.1016/S0300-9084(02)00035-4,no,good
The survival of pathogenic bacteria and plant growth promoting bacteria during mesophilic anaerobic digestion in full-scale biogas plants,17.0,1.7,4.0,10.1111/asj.13137,no,good
Indications for a genetic basis for big bacteria and description of the giant cable bacterium Candidatus Electrothrix gigas sp. nov.,4.0,3.7,9.75,10.1128/spectrum.00538-23,no,good
Beneficial effects of inoculation of growth-promoting bacteria in strawberry,42.0,6.1,0.25,10.1016/j.micres.2019.04.005,no,good
Gut bacteria and sex differences in colorectal cancer,2.0,2.4,1.0,10.1099/jmm.0.001706,no,good
Mechanism of microbiologically influenced corrosion of X65 steel in seawater containing sulfate-reducing bacteria and iron-oxidizing bacteria,63.0,6.2,7.0,10.1016/j.jmrt.2019.07.016,no,good
Facile ultrathin film of silver nanoparticles for bacteria sensing,5.0,5.4,1.0,10.1016/j.colsurfb.2020.111335,no,good
Representing bacteria with unique genomic signatures,0.0,2.4,3.0,10.3389/fdata.2022.1018356,no,good
Airborne bacteria as cloud condensation nuclei,147.0,3.8,43.306,10.1029/2003JD003545,no,good
Active skeleton for bacteria modelling,0.0,1.3,1.5,10.1080/21681163.2015.1100099,no,good
Wastewater nutrient removal in a mixed microalgae-bacteria culture: effect of light and temperature on the microalgae-bacteria competition,63.0,2.2,0.5,10.1080/09593330.2017.1305001,no,good
Acetoin metabolism in bacteria,322.0,6,9.0,10.1080/10408410701364604,no,good
Soil phenanthrene phytoremediation capacity in bacteria-assisted Spartina densiflora,8.0,6.2,1.0,10.1016/j.ecoenv.2019.109382,no,good
Marine and terrestrial nitrifying bacteria are sources of diverse bacteriohopanepolyols,8.0,2.7,13.35,10.1111/gbi.12484,no,good
Utilization of diverse organophosphorus pollutants by marine bacteria,4.0,9.4,47.01000000000001,10.1073/pnas.2203604119,no,good
Bacteria as a double-action sword in cancer,33.0,9.7,0.25,10.1016/j.bbcan.2020.188388,no,good
Immunomodulation by Commensal and Probiotic Bacteria,142.0,2.9,1.0,10.3109/08820131003667978,no,good
FORMATION OF POLY(3-HYDROXYALKANOATES) BY PHOTOTROPHIC AND CHEMOLITHOTROPHIC BACTERIA,151.0,2.3,6.0,10.1007/BF00244955,no,good
Tumor cryotherapy using Ice-producing bacteria,0.0,2.1,0.25,10.1016/j.mehy.2020.110101,no,good
Precision genome engineering in lactic acid bacteria,64.0,4.3,13.838,10.1186/1475-2859-13-S1-S10,no,good
Progress and Applications of Plant Growth-Promoting Bacteria in Salt Tolerance of Crops,21.0,4.9,1.0,10.3390/ijms23137036,no,good
"The influence of bacteria-dominated diets on Daphnia magna somatic growth, reproduction, and lipid composition",77.0,3.5,1.0,10.1111/j.1574-6941.2012.01406.x,no,good
Kimchi probiotic bacteria contribute to reduced amounts of N-nitrosodimethylamine in lactic acid bacteria-fortified kimchi,31.0,6,1.25,10.1016/j.lwt.2017.05.060,no,good
Targeted Proteomics for Studying Pathogenic Bacteria,37.0,3.4,7.5,10.1002/pmic.201800435,no,good
Coaggregation between and among human intestinal and oral bacteria,57.0,3.5,3.0,10.1111/j.1574-6941.2008.00525.x,no,good
Bacteria affect Caenorhabditis elegans responses to MeHg toxicity,15.0,3.4,1.6,10.1016/j.neuro.2019.09.002,no,good
Improved culturability of cellulolytic rumen bacteria and phylogenetic diversity of culturable cellulolytic and xylanolytic bacteria newly isolated from the bovine rumen,72.0,3.5,0.25,10.1111/1574-6941.12318,no,good
Counting bacteria on a microfluidic chip,47.0,5.7,6.0,10.1016/j.aca.2010.09.035,no,good
Isolation of Fucosyltransferase-Producing Bacteria from Marine Environments,5.0,2.1,9.0,10.1264/jsme2.ME12058,no,good
Assaying for Inorganic Polyphosphate in Bacteria,13.0,1.2,3.35,10.3791/58818,no,good
Bioremoval of graffiti using novel commercial strains of bacteria,12.0,8.2,3.0,10.1016/j.scitotenv.2020.144075,no,good
Sulfate-reducing bacteria,270.0,11.4,3.0,10.1080/10643389609388489,no,good
Environmental bacteria and childhood asthma,91.0,12.6,13.05,10.1111/all.12028,no,good
Progress and prospects of nanomaterials against resistant bacteria,26.0,10.5,1.25,10.1016/j.jconrel.2022.09.030,no,good
Use of bacteria to repair cracks in concrete,651.0,10.9,10.0,10.1016/j.cemconres.2009.08.025,no,good
"Microwaves, a potential treatment for bacteria: A review",15.0,4,1.75,10.3389/fmicb.2022.888266,no,good
"Chlamydiales, Anaplasma and Bartonella: persistence and immune escape of intracellular bacteria",12.0,2.6,22.45,10.1016/j.micinf.2017.11.002,no,good
RNA imaging in bacteria,1.0,10.1,1.25,10.1093/femsre/fuaa051,no,good
Gram-negative bacteria associated with a dominant arboreal ant species outcompete phyllosphere-associated bacteria species in a tropical canopy,3.0,2.3,0.5,10.1007/s00442-021-04878-y,no,good
Endocytosis-like protein uptake in the bacterium Gemmata obscuriglobus,193.0,9.4,35.874,10.1073/pnas.1001085107,no,good
A universal biosensor utilizing bacteria-initiated in situ growth of electroactive polymers for bacteria-related hazards detection,12.0,10.7,0.25,10.1016/j.bios.2022.114030,no,good
ARTHRITIS AND FOODBORNE BACTERIA,13.0,2.1,10.3,10.4315/0362-028X-57.10.935,no,good
Class II antimicrobial peptides from lactic acid bacteria,234.0,3.2,3.0,10.1002/1097-0282(2000)55:1<50::AID-BIP50>3.0.CO;2-3,no,good
Waterborne Coatings Encapsulating Living Nitrifying Bacteria for Wastewater Treatment,3.0,6.5,3.35,10.1002/adsu.202200312,no,good
The identification and biogeochemical interpretation of fossil magnetotactic bacteria,300.0,10.8,6.0,10.1016/j.earscirev.2007.08.001,no,good
An ode to multidisciplinarity: the 'Bacteria Orchestrate Life' international meeting,0.0,1.8,2.5,10.1242/bio.060304,no,good
Properties and biotechnological applications of ice-binding proteins in bacteria,36.0,2.2,17.6,10.1093/femsle/fnw099,no,good
Bacteria-based bioactive materials for cancer imaging and therapy,14.0,15.2,0.5,10.1016/j.addr.2023.114696,no,good
Bacteria under stress by complement and coagulation,95.0,10.1,2.25,10.1111/1574-6976.12080,no,good
Silver metal induced surface enhanced Raman of bacteria,133.0,4.9,3.0,10.1016/S0927-7757(02)00162-0,no,good
Pathogenic bacteria and timing of laying,7.0,2.3,2.5,10.1002/ece3.1473,no,good
The Ecology and Evolution of Amoeba-Bacterium Interactions,47.0,3.9,33.256,10.1128/AEM.01866-20,no,good
Aerosol bacteria over the southern ocean during ACE-1,81.0,4.5,3.0,10.1016/S0169-8095(03)00039-5,no,good
"Surgical stress, bacteria, and mucosal immune function",11.0,1.5,3.0,10.1055/s-2008-1072246,no,good
Oxygen defense in sulfate-reducing bacteria,168.0,4.1,5.08,10.1016/j.jbiotec.2006.03.041,no,good
Engineered bacteria in tumor immunotherapy,0.0,9.1,10.75,10.1016/j.canlet.2024.216817,no,good
"Characteristics, Biodiversity, and Cultivation Strategy of Low Nucleic Acid Content Bacteria",5.0,4,2.0,10.3389/fmicb.2022.900669,no,good
Sticking-bacteria gel enhancing anti-multidrug-resistant microbial therapy under ultrasound,8.0,9.5,0.25,10.1007/s12274-022-4547-4,no,good
Extreme polyploidy in a large bacterium,119.0,9.4,34.914,10.1073/pnas.0707522105,no,good
"Antibiotic Resistance Mechanisms in Bacteria: Relationships Between Resistance Determinants of Antibiotic Producers, Environmental Bacteria, and Clinical Pathogens",561.0,4,24.63,10.3389/fmicb.2018.02928,no,good
Plant-bacterium interactions analyzed by proteomics,30.0,4.1,0.25,10.3389/fpls.2013.00021,no,good
A novel method for determining viable bacteria from a mixture of dead and viable bacteria: Delayed real-time PCR (DR-PCR) method,0.0,1.7,6.35,10.1016/j.mimet.2023.106844,no,good
The Effect of Microcystis on the Monitoring of Faecal Indicator Bacteria,0.0,3.9,1.5,10.3390/toxins15110628,no,good
"Mapping bacteria on filter membranes, an innovative SERS approach",22.0,1.7,5.08,10.1016/j.mimet.2018.03.005,no,good
MODELING FECAL-COLIFORM BACTERIA .2. MODEL DEVELOPMENT AND APPLICATION,67.0,11.4,6.0,10.1016/0043-1354(93)90180-P,no,good
Antibiotic Resistance Mechanisms of Clinically Important Bacteria,251.0,2.4,3.0,10.3390/medicina47030019,no,good
Repurposing of Tamoxifen Against the Oral Bacteria,3.0,1.8,0.25,10.4274/tjps.galenos.2019.23500,no,good
Inoculants of plant growth-promoting bacteria for use in agriculture,573.0,12.1,85.08,10.1016/S0734-9750(98)00003-2,no,good
Strategies for culture of 'unculturable' bacteria,625.0,2.2,20.796,10.1111/j.1574-6968.2010.02000.x,no,good
Bacteria and bacterial derivatives as drug carriers for cancer therapy,88.0,10.5,4.75,10.1016/j.jconrel.2020.07.009,no,good
Production of folate by bacteria isolated from oat bran,31.0,5,0.25,10.1016/j.ijfoodmicro.2010.07.026,no,good
Gold helps bacteria to oxidize methane,34.0,3.8,10.144,10.1016/S0162-0134(01)00385-3,no,good
"An overview of the alpha-, beta- and gamma-carbonic anhydrases from Bacteria: can bacterial carbonic anhydrases shed new light on evolution of bacteria?",329.0,5.6,1.25,10.3109/14756366.2014.910202,no,good
Advancement of Engineered Bacteria for Orally Delivered Therapeutics,1.0,13,7.6,10.1002/smll.202302702,no,good
Environmental bacteria produce abundant and diverse antibiofilm compounds,11.0,3.2,4.0,10.1111/jam.12639,no,good
The crosstalk of intratumor bacteria and the tumor,0.0,4.6,0.25,10.3389/fcimb.2023.1273254,no,good
Modeling sediment impact on the transport of fecal bacteria,201.0,11.4,3.0,10.1016/j.watres.2005.10.013,no,good
Isolation of flagellated bacteria implicated in Crohn's disease,129.0,4.5,6.0,10.1002/ibd.20237,no,good
Commensal bacteria and cutaneous immunity,79.0,7.9,1.75,10.1007/s00281-014-0452-6,no,good
Challenges of unculturable bacteria: environmental perspectives,177.0,8.6,13.0,10.1007/s11157-020-09522-4,no,good
Small regulatory RNAs and the fine-tuning of plant-bacteria interactions,17.0,8.3,3.75,10.1111/nph.13195,no,good
Bacteria involved in the sulfur cycle in tarballs collected from the Alabama Gulf Coast,0.0,2.2,0.75,10.1093/femsle/fnae003,no,good
Methylotrophic bacteria in sustainable agriculture,47.0,4,14.08,10.1007/s11274-016-2074-8,no,good
Extremely rapid extraction of DNA from bacteria and yeasts,329.0,2,3.0,10.1007/s10529-005-4688-z,no,good
Comparative genomic analysis of plant-associated bacteria,143.0,9.1,6.0,10.1146/annurev.phyto.40.030402.090559,no,good
Isolating Bacteria from Sponges: Why and How?,16.0,2.2,1.0,10.2174/1389201019666180329111327,no,good
Vancomycin-functionalised Ag@TiO2 phototoxicity for bacteria,52.0,12.2,7.0,10.1016/j.jhazmat.2010.10.110,no,good
New insights into symbiotic associations between ants and bacteria,37.0,2.5,3.0,10.1016/S0923-2508(00)00221-7,no,good
Plant-bacteria partnerships for the remediation of hydrocarbon contaminated soils,314.0,8.1,6.5,10.1016/j.chemosphere.2012.09.045,no,good
"Functional role of yeasts, lactic acid bacteria and acetic acid bacteria in cocoa fermentation processes",93.0,10.1,9.35,10.1093/femsre/fuaa014,no,good
Effect of bacteria-to-algae volume ratio on treatment performance and microbial community of a novel heterotrophic nitrification-aerobic denitrification bacteria-chlorella symbiotic system,24.0,9.7,0.25,10.1016/j.biortech.2021.126025,no,good
Diversity of nitrifying bacteria in full-scale chloraminated distribution systems,148.0,11.4,6.0,10.1016/S0043-1354(02)00237-3,no,good
"Ammonia production by human faecal bacteria, and the enumeration, isolation and characterization of bacteria capable of growth on peptides and amino acids",100.0,4,1.25,10.1186/1471-2180-13-6,no,good
?Phase transitions? in bacteria-From structural transitions in free living bacteria to phenotypic transitions in bacteria within biofilms,2.0,13.7,3.25,10.1016/j.plrev.2022.09.004,no,good
Anammox activity improved significantly by the cross-fed NO from ammonia-oxidizing bacteria and denitrifying bacteria to anammox bacteria,3.0,11.4,1.0,10.1016/j.watres.2023.120986,no,good
Intracellular bacteria and adverse pregnancy outcomes,97.0,10.9,3.0,10.1111/j.1469-0691.2011.03604.x,no,good
Polyphenols from selected dietary spices and medicinal herbs differentially affect common food-borne pathogenic bacteria and lactic acid bacteria,75.0,5.6,11.18,10.1016/j.foodcont.2018.05.032,no,good
The role of probiotic bacteria in cancer prevention,213.0,2.6,3.0,10.1016/S1286-4579(00)00357-9,no,good
The potential roles of bacteria to improve radiation treatment outcome,11.0,2.8,0.25,10.1007/s12094-017-1701-7,no,good
Bacteria and the market,9.0,3.4,70.0,10.1177/1470593118796678,no,good
Electrochemical reduction of oxygen catalyzed by a wide range of bacteria including Gram-positive,104.0,4.7,3.0,10.1016/j.elecom.2010.01.026,no,good
Lipopolysaccharide Stimulates the Growth of Bacteria That Contribute to Ruminal Acidosis,19.0,3.9,4.25,10.1128/AEM.02193-19,no,good
Distant interactions in bacteria,20.0,1.3,3.0,10.1007/BF02756798,no,good
Potential role of bacteria packaging by protozoa in the persistence and transmission of pathogenic bacteria,52.0,4,0.25,10.3389/fmicb.2014.00240,no,good
Microplastics biodegradation by biofloc-producing bacteria: An inventive biofloc technology approach,8.0,6.1,1.85,10.1016/j.micres.2022.127239,no,good
Decorated bacteria and the application in drug delivery,44.0,15.2,0.5,10.1016/j.addr.2022.114443,no,good
Emerging role of bacteria in oral carcinogenesis: a review with special reference to perio-pathogenic bacteria,149.0,3.7,4.75,10.3402/jom.v8.32762,no,good
Complete genome sequence of pectin-degrading Flavobacteriaceae bacterium GSB9,0.0,1.3,0.25,10.1016/j.margen.2023.101047,no,good
Bacteria defend carrion from scavengers,3.0,1.8,3.0,10.1017/S0954102018000457,no,good
Anaerobic biodegradation of pharmaceutical compounds: New insights into the pharmaceutical-degrading bacteria,64.0,12.2,0.25,10.1016/j.jhazmat.2018.06.001,no,good
Associated bacteria of Botryococcus braunii (Chlorophyta),7.0,2.3,3.45,10.7717/peerj.6610,no,good
Bacteria and bacterial products: Foe and friends to Caenorhabditis elegans,31.0,6.1,12.33,10.1016/j.micres.2018.06.012,no,good
The predominant bacteria isolated from radicular cysts,10.0,2.4,1.5,10.1186/1746-160X-9-25,no,good
Polyphosphate Dynamics in Cable Bacteria,3.0,4,3.25,10.3389/fmicb.2022.883807,no,good
Bioluminescence-mediated stimulation of photoreactivation in bacteria,25.0,2.2,5.0,10.1016/j.femsle.2005.06.047,no,good
Strategies and ecological roles of algicidal bacteria,143.0,10.1,11.08,10.1093/femsre/fux029,no,good
Bacteria in Fluid Flow,3.0,2.7,8.649999999999999,10.1128/jb.00400-22,no,good
Bacteria associated with vascular wilt of poplar,4.0,2.3,1.25,10.1007/s00203-021-02464-7,no,good
Extracellular Vesicle Biogenesis and Functions in Gram-Positive Bacteria,127.0,2.9,23.0,10.1128/IAI.00433-20,no,good
Kuratsuki bacteria and sake making,0.0,1.4,2.25,10.1093/bbb/zbad147,no,good
Aerobic salivary bacteria in wild and captive Komodo dragons,56.0,1.1,35.54,10.7589/0090-3558-38.3.545,no,good
Extract from phyllosphere bacteria with antibiofilm and quorum quenching activity to control several fish pathogenic bacteria,3.0,1.6,0.25,10.1186/s13104-021-05612-w,no,good
The microbial challenge of winemaking: yeast-bacteria compatibility,49.0,2.4,6.3,10.1093/femsyr/foz040,no,good
The Dilemma of Multidrug-Resistant Gram-Negative Bacteria,8.0,2.3,5.0,10.1097/MAJ.0b013e3181e939c3,no,good
Genomics of lactic acid bacteria,40.0,2.2,3.0,10.1111/j.1574-6968.2008.01442.x,no,good
Perchlorate-reducing bacteria from Antarctic marine sediments,5.0,2.9,1.0,10.1007/s10661-022-10328-w,no,good
T cell polarizing properties of probiotic bacteria,18.0,3.3,1.5,10.1016/j.imlet.2015.11.005,no,good
Antibacterial Activity of Colloidal Silver against Gram-Negative and Gram-Positive Bacteria,56.0,4.3,21.7,10.3390/antibiotics9010036,no,good
Identification of bacteria using volatile organic compounds,18.0,1.5,1.75,10.14715/cmb/2017.63.2.18,no,good
The effect of lactic acid bacteria on cocoa bean fermentation,81.0,5,9.08,10.1016/j.ijfoodmicro.2015.03.031,no,good
Cytoprotective metal-organic frameworks for anaerobic bacteria,154.0,9.4,107.0,10.1073/pnas.1808829115,no,good
"Algae-bacteria interactions: Evolution, ecology and emerging applications",873.0,12.1,12.95,10.1016/j.biotechadv.2015.12.003,no,good
Modelling Phage -Bacteria Interaction in Micro-Bioreactors,1.0,1.5,0.25,10.1002/clen.201600702,no,good
A Quantitative Bacteria Monitoring and Killing Platform Based on Electron Transfer from Bacteria to a Semiconductor,40.0,27.4,0.75,10.1002/adma.202003616,no,good
"Long-distance electron transport in individual, living cable bacteria",88.0,9.4,122.39,10.1073/pnas.1800367115,no,good
Sublithic bacteria associated with Antarctic quartz stones,71.0,1.8,3.0,10.1017/S0954102000000237,no,good
Construction of bacteria-eukaryote synthetic mutualism,18.0,2,0.5,10.1016/j.biosystems.2013.05.006,no,good
Phytoremediation: synergistic use of plants and bacteria to clean up the environment,592.0,12.1,3.0,10.1016/S0734-9750(03)00055-7,no,good
Isolation and Identification of Culturable Bacteria from South China Seawater and Preliminary Screening of Marine Biocontrol Bacteria,0.0,4.1,1.25,10.3390/microorganisms11122933,no,good
Algae-bacteria association inferred by 16S rDNA similarity in established microalgae cultures,37.0,3.9,1.25,10.1002/mbo3.175,no,good
Marine bacteria: potential candidates for enhanced bioremediation,167.0,3.9,3.0,10.1007/s00253-012-4584-0,no,good
Antibiotic Resistance Gene-Carrying Plasmid Spreads into the Plant Endophytic Bacteria using Soil Bacteria as Carriers,70.0,10.8,8.93,10.1021/acs.est.1c01615,no,good
HELPER BACTERIA - A NEW DIMENSION TO THE MYCORRHIZAL SYMBIOSIS,572.0,8.3,9.0,10.1111/j.1469-8137.1994.tb04003.x,no,good
Disproportionation of inorganic sulfur compounds by a novel autotrophic bacterium belonging to Nitrospirota,40.0,3.3,7.699999999999999,10.1016/j.syapm.2020.126110,no,good
"Bacteria abundance and diversity of different life stages of Plutella xylostella (Lepidoptera: Plutellidae), revealed by bacteria culture-dependent and PCR-DGGE methods",32.0,2.9,0.75,10.1111/1744-7917.12079,no,good
Diverse Bacterial Genes Modulate Plant Root Association by Beneficial Bacteria,16.0,5.1,12.6,10.1128/mBio.03078-20,no,good
Plasmid carriage can limit bacteria - phage coevolution,13.0,2.8,11.8,10.1098/rsbl.2015.0361,no,good
Earthworm gut bacteria increase silicon bioavailability and acquisition by maize,28.0,9.8,8.08,10.1016/j.soilbio.2018.07.015,no,good
Nitrogen signalling in plant interactions with associative and endophytic diazotrophic bacteria,104.0,5.6,3.25,10.1093/jxb/eru319,no,good
Role of human gut bacteria in arsenic biosorption and biotransformation,5.0,10.3,2.0,10.1016/j.envint.2022.107314,no,good
Poles apart: Biodiversity and biogeography of sea ice bacteria,278.0,8.5,6.0,10.1146/annurev.micro.53.1.189,no,good
Synergistic Brilliance: Engineered Bacteria and Nanomedicine Unite in Cancer Therapy,0.0,27.4,0.25,10.1002/adma.202313953,no,good
Role of bacteria in experimental colitis,84.0,3.2,3.0,10.1016/S1521-6918(03)00068-4,no,good
Binding of Fusarium mycotoxins by fermentative bacteria in vitro,174.0,3.2,6.0,10.1111/j.1365-2672.2006.02958.x,no,good
Strategies of Detecting Bacteria Using Fluorescence-Based Dyes,27.0,3.8,0.5,10.3389/fchem.2021.743923,no,good
Do Bacteria Age? A Contemporary Controversy in Biology,2.0,0.4,0.5,10.1007/s12045-012-0037-4,no,good
A Direct Pre-screen for Marine Bacteria Producing Compounds Inhibiting Quorum Sensing Reveals Diverse Planktonic Bacteria that are Bioactive,12.0,2.6,7.0,10.1007/s10126-014-9592-x,no,good
Ubiquitous Detection of Gram-Positive Bacteria with Bioorthogonal Magnetofluorescent Nanoparticles,135.0,15.8,6.0,10.1021/nn2029692,no,good
Potent Antibacterial Nanoparticles for Pathogenic Bacteria,102.0,8.3,1.0,10.1021/am507919m,no,good
Successional colonization of perennial ryegrass by rumen bacteria,40.0,2,1.0,10.1111/lam.12033,no,good
Diversity and metabolic energy in bacteria,1.0,2.2,19.85,10.1093/femsle/fnad043,no,good
The potential use of theranostic bacteria in cancer,9.0,4.5,0.5,10.1002/jcp.30152,no,good
Abscisic acid-catabolizing bacteria: A useful tool for enhancing phytoremediation,13.0,8.2,0.25,10.1016/j.scitotenv.2021.151474,no,good
Isolation and characterization of bacteria from the gut of a mesopelagic copepod Cephalophanes reflugens (Copepoda: Calanoida),0.0,1.9,1.0,10.1093/plankt/fbad049,no,good
The rhizosphere of aquatic plants is a habitat for cable bacteria,35.0,3.5,47.75,10.1093/femsec/fiz062,no,good
"Identification of an antibacterial compound, benzylideneacetone, from Xenorhabdus nematophila against major plant-pathogenic bacteria",128.0,2.2,3.0,10.1016/j.femsle.2004.08.041,no,good
H2S biotreatment with sulfide-oxidizing heterotrophic bacteria,30.0,3.1,0.5,10.1007/s10532-018-9849-6,no,good
Recent advances in single bacterium metabolic analysis techniques,2.0,11.8,0.25,10.1016/j.trac.2023.117076,no,good
Bacteria-based concrete: from concept to market,64.0,3.7,3.0,10.1088/0964-1726/25/8/084006,no,good
High temperature accelerates growth of aerobic anoxygenic phototrophic bacteria in seawater,17.0,3.9,1.0,10.1002/mbo3.710,no,good
Brackish Groundwaters Contain Plastic- and Cellulose-Degrading Bacteria,2.0,3.3,0.5,10.1007/s00248-023-02278-8,no,good
Antimicrobial activity of surface attached marine bacteria in biofilms,20.0,6.1,1.0,10.1016/j.micres.2010.08.003,no,good
"Bacteria in atmospheric waters: Detection, characteristics and implications",33.0,4.2,1.0,10.1016/j.atmosenv.2018.02.026,no,good
Nanocatalytic bacteria disintegration reverses immunosuppression of colorectal cancer,15.0,16.3,0.25,10.1093/nsr/nwac169,no,good
Prospect of bacteria for tumor diagnosis and treatment,2.0,5.2,9.5,10.1016/j.lfs.2022.121215,no,good
Bioprospecting glacial ice for plant growth promoting bacteria,33.0,6.1,3.75,10.1016/j.micres.2015.05.001,no,good
Temporal trends in prevalence of bacteria isolated from foals with sepsis: 1979-2010,48.0,2.4,1.5,10.1111/evj.12131,no,good
Bacteriophages Infecting Gram-Negative Bacteria in a Commercial Cucumber Fermentation,10.0,4,2.5,10.3389/fmicb.2020.01306,no,good
Identification of Bacteria in Water by a Fluorescent Array,150.0,16.1,16.0,10.1002/anie.201407606,no,good
Quorum Sensing Inhibition by Marine Bacteria,50.0,4.9,1.75,10.3390/md17070427,no,good
Mannitol production by lactic acid bacteria: a review,310.0,3.1,6.0,10.1016/S0958-6946(01)00153-4,no,good
Bacteria as Trigger for Chronic Gastrointestinal Disorders,24.0,2,0.5,10.1159/000323879,no,good
Nodule-associated bacteria alter the mutualism between arbuscular mycorrhizal fungi and N2 fixing bacteria,20.0,9.8,3.95,10.1016/j.soilbio.2021.108149,no,good
Bacteria based self healing concrete - A review,266.0,7.4,17.5,10.1016/j.conbuildmat.2017.07.040,no,good
ENTERIC BACTERIA SURVIVAL FACTORS,109.0,2.5,6.0,10.2166/wst.1992.0341,no,good
Degradation of euptox A by tannase-producing rumen bacteria from migratory goats,9.0,3.2,5.5,10.1111/jam.13563,no,good
REMOVAL OF BACTERIA IN LABORATORY FILTERS - MODELS AND EXPERIMENTS,50.0,11.4,3.0,10.1016/0043-1354(93)90059-Q,no,good
Efficient Bacteria Killing by Cu2WS4 Nanocrystals with Enzyme-like Properties and Bacteria-Binding Ability,196.0,15.8,3.0,10.1021/acsnano.9b03868,no,good
Lignin depolymerization and utilization by bacteria,129.0,9.7,7.33,10.1016/j.biortech.2018.08.118,no,good
Identification of bacteria using mass spectrometry techniques,56.0,1.6,9.75,10.1016/j.ijms.2013.04.016,no,good
Coxiella-like bacteria in fowl ticks from Thailand,15.0,3,3.5,10.1186/s13071-018-3259-9,no,good
Rapid selective ferrographic enumeration of bacteria,18.0,2.5,3.0,10.1016/S0304-8853(98)00582-4,no,good
Bacteria and cancer: Different sides of the same coin,34.0,5.2,0.5,10.1016/j.lfs.2020.117398,no,good
"Is there, and should there be, apoptosis in bacteria?",11.0,2.6,11.306,10.1016/j.micinf.2013.05.005,no,good
The Threat of Carbapenem-Resistant Gram-Negative Bacteria in Patients with Hematological Malignancies: Unignorable Respiratory Non-Fermentative Bacteria-Derived Bloodstream Infections,7.0,2.9,5.8,10.2147/IDR.S359833,no,good
Leaching of Chalcopyrite under Bacteria-Mineral Contact/Noncontact Leaching Model,5.0,2.2,0.5,10.3390/min11030230,no,good
Bacteria-Host Interactions in Multiple Sclerosis,33.0,4,11.75,10.3389/fmicb.2018.02966,no,good
Insect Gut Bacteria Promoting the Growth of Tomato Plants (Solanum lycopersicum L.),2.0,4.9,0.5,10.3390/ijms232113548,no,good
Interactions between invasive fungi and symbiotic bacteria,11.0,4,1.0,10.1007/s11274-020-02913-3,no,good
Anaerobic Ammonium-Oxidizing Bacteria in Cow Manure Composting,9.0,2.5,0.25,10.4014/jmb.1702.02065,no,good
Using bacteria to study consistent variation in individual behavior,3.0,2.5,8.85,10.1093/beheco/arv154,no,good
Characterization of ice-nucleating bacteria using on-line electron impact ionization aerosol mass spectrometry,10.0,1.9,3.25,10.1002/jms.3573,no,good
Susceptibility of Virulent Yersinia pestis Bacteria to Predator Bacteria in the Lungs of Mice,20.0,4.1,47.0,10.3390/microorganisms7010002,no,good
Enumeration and characterization of culturable arsenate resistant bacteria in a large estuary,74.0,3.3,1.0,10.1016/j.syapm.2005.05.012,no,good
A novel method for isolation of magnetic bacteria without magnetic collection using magnetotaxis,19.0,1.7,3.0,10.1016/0167-7012(96)00905-0,no,good
Competitive interactions between sponge-associated bacteria,20.0,3.5,3.5,10.1093/femsec/fix008,no,good
Spoilage bacteria of fresh broiler chicken carcasses,57.0,3.8,14.0,10.3382/ps.0742041,no,good
Lactic Acid Bacteria in Finfish-An Update,245.0,4,2.0,10.3389/fmicb.2018.01818,no,good
Magnetotactic Bacteria: Performances and Challenges,11.0,2.2,0.25,10.1080/01490451.2014.986694,no,good
Tolerance of Anaerobic Bacteria to Chlorinated Solvents,15.0,2.1,3.0,10.1264/jsme2.ME13113,no,good
D-Amino acid metabolism in bacteria,34.0,2.1,3.5,10.1093/jb/mvab043,no,good
